location,year,month,day,hour,minutes,seconds,temperature(C)
studyroom,2017,8,19,24,50,26,21.06
studyroom,2017,8,19,24,51,27,21.00
studyroom,2017,8,19,24,52,27,21.00
studyroom,2017,8,19,24,53,28,21.00
studyroom,2017,8,19,24,54,29,21.00
studyroom,2017,8,19,24,55,29,21.00
studyroom,2017,8,19,24,56,30,21.00
studyroom,2017,8,19,24,57,31,21.00
studyroom,2017,8,19,24,58,32,21.00
studyroom,2017,8,19,24,59,32,21.00
studyroom,2017,8,19,25,0,33,21.00
studyroom,2017,8,19,25,1,34,21.00
studyroom,2017,8,19,25,2,34,21.00
studyroom,2017,8,19,25,3,35,21.00
studyroom,2017,8,19,25,4,36,21.00
studyroom,2017,8,19,25,5,36,21.00
studyroom,2017,8,19,25,6,37,21.00
studyroom,2017,8,19,25,7,38,21.00
studyroom,2017,8,19,25,8,38,21.00
studyroom,2017,8,19,25,9,39,21.00
studyroom,2017,8,19,25,10,40,21.00
studyroom,2017,8,19,25,11,41,21.06
studyroom,2017,8,19,25,12,41,21.00
studyroom,2017,8,19,25,13,42,21.00
studyroom,2017,8,19,25,14,43,21.00
studyroom,2017,8,19,25,15,43,21.00
studyroom,2017,8,19,25,16,44,21.00
studyroom,2017,8,19,25,17,45,21.06
studyroom,2017,8,19,25,18,45,21.00
studyroom,2017,8,19,25,19,46,21.00
studyroom,2017,8,19,25,20,47,21.00
studyroom,2017,8,19,25,21,47,21.00
studyroom,2017,8,19,25,22,48,21.00
studyroom,2017,8,19,25,23,49,21.00
studyroom,2017,8,19,25,24,49,21.00
studyroom,2017,8,19,25,25,50,21.00
studyroom,2017,8,19,25,26,51,21.00
studyroom,2017,8,19,25,27,51,21.00
studyroom,2017,8,19,25,28,52,21.00
studyroom,2017,8,19,25,29,53,21.00
studyroom,2017,8,19,25,30,54,21.00
studyroom,2017,8,19,25,31,54,21.00
studyroom,2017,8,19,25,32,55,21.00
studyroom,2017,8,19,25,33,56,21.00
studyroom,2017,8,19,25,34,56,21.00
studyroom,2017,8,19,25,35,57,21.00
studyroom,2017,8,19,25,36,58,21.00
studyroom,2017,8,19,25,37,58,21.06
studyroom,2017,8,19,25,38,59,21.06
studyroom,2017,8,19,25,40,0,21.00
studyroom,2017,8,19,25,41,0,21.00
studyroom,2017,8,19,25,42,1,21.06
studyroom,2017,8,19,25,43,2,21.06
studyroom,2017,8,19,25,44,2,21.06
studyroom,2017,8,19,25,45,3,21.06
studyroom,2017,8,19,25,46,4,21.00
studyroom,2017,8,19,25,47,4,21.00
studyroom,2017,8,19,25,48,5,21.00
studyroom,2017,8,19,25,49,6,21.00
studyroom,2017,8,19,25,50,6,21.00
studyroom,2017,8,19,25,51,7,21.00
studyroom,2017,8,19,25,52,8,21.00
studyroom,2017,8,19,25,53,9,21.00
studyroom,2017,8,19,25,54,9,21.00
studyroom,2017,8,19,25,55,10,21.00
studyroom,2017,8,19,25,56,11,21.06
studyroom,2017,8,19,25,57,11,21.06
studyroom,2017,8,19,25,58,12,21.00
studyroom,2017,8,19,25,59,13,21.00
studyroom,2017,8,20,2,0,14,21.00
studyroom,2017,8,20,2,1,14,21.00
studyroom,2017,8,20,2,2,15,21.00
studyroom,2017,8,20,2,3,16,21.00
studyroom,2017,8,20,2,4,16,21.00
studyroom,2017,8,20,2,5,17,21.00
studyroom,2017,8,20,2,6,18,21.00
studyroom,2017,8,20,2,7,19,21.00
studyroom,2017,8,20,2,8,19,21.00
studyroom,2017,8,20,2,9,20,21.00
studyroom,2017,8,20,2,10,21,21.00
studyroom,2017,8,20,2,11,22,21.00
studyroom,2017,8,20,2,12,22,21.00
studyroom,2017,8,20,2,13,23,21.00
studyroom,2017,8,20,2,14,24,21.00
studyroom,2017,8,20,2,15,24,21.00
studyroom,2017,8,20,2,16,25,21.00
studyroom,2017,8,20,2,17,26,21.00
studyroom,2017,8,20,2,18,27,21.00
studyroom,2017,8,20,2,19,27,20.94
studyroom,2017,8,20,2,20,28,20.94
studyroom,2017,8,20,2,21,29,20.94
studyroom,2017,8,20,2,22,30,20.94
studyroom,2017,8,20,2,23,30,20.94
studyroom,2017,8,20,2,24,31,20.94
studyroom,2017,8,20,2,25,32,20.94
studyroom,2017,8,20,2,26,33,20.94
studyroom,2017,8,20,2,27,33,20.94
studyroom,2017,8,20,2,28,34,20.94
studyroom,2017,8,20,2,29,35,20.94
studyroom,2017,8,20,2,30,36,20.88
studyroom,2017,8,20,2,31,36,20.88
studyroom,2017,8,20,2,32,37,20.88
studyroom,2017,8,20,2,33,38,20.88
studyroom,2017,8,20,2,34,39,20.88
studyroom,2017,8,20,2,35,40,20.88
studyroom,2017,8,20,2,36,40,20.88
studyroom,2017,8,20,2,37,41,20.88
studyroom,2017,8,20,2,38,42,20.88
studyroom,2017,8,20,2,39,43,20.88
studyroom,2017,8,20,2,40,43,20.88
studyroom,2017,8,20,2,41,44,20.81
studyroom,2017,8,20,2,42,45,20.88
studyroom,2017,8,20,2,43,46,20.81
studyroom,2017,8,20,2,44,47,20.81
studyroom,2017,8,20,2,45,47,20.81
studyroom,2017,8,20,2,46,48,20.81
studyroom,2017,8,20,2,47,49,20.81
studyroom,2017,8,20,2,48,50,20.81
studyroom,2017,8,20,2,49,51,20.81
studyroom,2017,8,20,2,50,51,20.81
studyroom,2017,8,20,2,51,52,20.75
studyroom,2017,8,20,2,52,53,20.75
studyroom,2017,8,20,2,53,54,20.75
studyroom,2017,8,20,2,54,55,20.81
studyroom,2017,8,20,2,55,55,20.81
studyroom,2017,8,20,2,56,56,20.81
studyroom,2017,8,20,2,57,57,20.81
studyroom,2017,8,20,2,58,58,20.75
studyroom,2017,8,20,2,59,59,20.75
studyroom,2017,8,20,3,1,0,20.75
studyroom,2017,8,20,3,2,0,20.75
studyroom,2017,8,20,3,3,1,20.75
studyroom,2017,8,20,3,4,2,20.75
studyroom,2017,8,20,3,5,3,20.75
studyroom,2017,8,20,3,6,4,20.75
studyroom,2017,8,20,3,7,4,20.75
studyroom,2017,8,20,3,8,5,20.75
studyroom,2017,8,20,3,9,6,20.75
studyroom,2017,8,20,3,10,7,20.75
studyroom,2017,8,20,3,11,8,20.75
studyroom,2017,8,20,3,12,8,20.75
studyroom,2017,8,20,3,13,9,20.75
studyroom,2017,8,20,3,14,10,20.75
studyroom,2017,8,20,3,15,11,20.75
studyroom,2017,8,20,3,16,12,20.75
studyroom,2017,8,20,3,17,12,20.75
studyroom,2017,8,20,3,18,13,20.75
studyroom,2017,8,20,3,19,14,20.75
studyroom,2017,8,20,3,20,15,20.75
studyroom,2017,8,20,3,21,16,20.75
studyroom,2017,8,20,3,22,17,20.75
studyroom,2017,8,20,3,23,17,20.69
studyroom,2017,8,20,3,24,18,20.69
studyroom,2017,8,20,3,25,19,20.69
studyroom,2017,8,20,3,26,20,20.69
studyroom,2017,8,20,3,27,21,20.69
studyroom,2017,8,20,3,28,22,20.69
studyroom,2017,8,20,3,29,22,20.69
studyroom,2017,8,20,3,30,23,20.69
studyroom,2017,8,20,3,31,24,20.69
studyroom,2017,8,20,3,32,25,20.63
studyroom,2017,8,20,3,33,26,20.63
studyroom,2017,8,20,3,34,26,20.63
studyroom,2017,8,20,3,35,27,20.63
studyroom,2017,8,20,3,36,28,20.69
studyroom,2017,8,20,3,37,29,20.69
studyroom,2017,8,20,3,38,30,20.63
studyroom,2017,8,20,3,39,30,20.63
studyroom,2017,8,20,3,40,31,20.63
studyroom,2017,8,20,3,41,32,20.63
studyroom,2017,8,20,3,42,33,20.63
studyroom,2017,8,20,3,43,34,20.63
studyroom,2017,8,20,3,44,35,20.63
studyroom,2017,8,20,3,45,35,20.63
studyroom,2017,8,20,3,46,36,20.63
